datetime,open,close,high,low,volume,money,open_interest
2021-10-25,676.384,677.985,700.373,667.497,842808.0,58144205900.0,935426.0
2021-10-26,673.778,702.585,709.013,671.303,861943.0,60000030350.0,958497.0
2021-10-27,699.887,698.189,709.866,662.62,1076152.0,74987984600.0,923330.0
2021-10-28,690.681,675.996,691.428,632.766,1428901.0,96067394700.0,908039.0
2021-10-29,669.542,633.54,672.548,626.124,1151167.0,75220674500.0,979918.0
2021-11-01,629.964,615.513,636.159,611.719,902389.0,56555615550.0,1008839.0
2021-11-02,615.742,562.654,625.949,562.322,1243100.0,73310374500.0,1050183.0
2021-11-03,566.349,585.745,593.161,560.612,979181.0,56765455150.0,1004045.0
2021-11-04,584.288,578.284,588.071,555.83,1061605.0,61334018750.0,1025888.0
2021-11-05,574.459,558.103,576.235,549.566,1154561.0,64837760400.0,1065277.0
2021-11-08,559.372,568.035,578.206,553.546,833613.0,47135388650.0,1079468.0
2021-11-09,566.454,557.573,571.642,548.389,862801.0,48446174650.0,1091456.0
2021-11-10,553.379,532.947,553.597,516.871,1153440.0,61500297050.0,1110862.0
2021-11-11,538.014,566.654,576.197,532.844,1293054.0,71676250900.0,1057145.0
2021-11-12,562.357,543.682,563.068,536.67,1008911.0,55716937350.0,1099775.0
2021-11-15,540.921,538.153,558.572,530.071,1094229.0,59733739450.0,1112413.0
2021-11-16,540.676,543.011,553.639,535.709,808434.0,44018022500.0,1140359.0
2021-11-17,542.13,538.634,550.726,531.439,971646.0,52438047750.0,1178650.0
2021-11-18,538.66,512.777,539.966,511.745,1003681.0,52577568900.0,1247317.0
2021-11-19,515.136,535.796,543.834,510.853,1130371.0,59458949300.0,1207268.0
2021-11-22,531.295,558.713,560.824,527.021,1163833.0,63343752300.0,1181047.0
2021-11-23,558.762,582.956,597.377,557.754,1494461.0,86996979350.0,1128707.0
2021-11-24,582.739,613.993,617.152,581.466,1334794.0,80019042400.0,1091556.0
2021-11-25,614.009,608.72,626.241,600.968,1119813.0,68898354200.0,1086207.0
2021-11-26,600.399,576.38,601.255,573.048,1293559.0,75895160850.0,1081062.0
2021-11-29,569.868,616.527,623.03,565.996,1478132.0,88337150350.0,1090193.0
2021-11-30,617.66,610.698,633.563,593.109,1438155.0,88495511550.0,1071704.0
2021-12-01,612.245,629.033,640.329,610.388,1413001.0,88422193700.0,1077086.0
2021-12-02,630.153,605.507,632.726,603.884,1438309.0,89516970250.0,1087117.0
2021-12-03,599.715,606.959,614.024,586.885,1501367.0,90552724700.0,1113472.0
2021-12-06,610.032,607.614,622.359,600.72,1250772.0,76757687950.0,1121706.0
2021-12-07,613.147,653.58,665.594,611.723,1722567.0,111186409850.0,1186064.0
2021-12-08,656.034,653.532,671.046,647.692,1226000.0,81121457900.0,1185530.0
2021-12-09,650.622,639.573,653.421,628.685,1377237.0,88489568800.0,1121969.0
2021-12-10,633.491,636.469,645.143,624.348,1226840.0,78055220450.0,1110602.0
2021-12-13,640.217,667.402,672.603,632.219,1267359.0,82951963900.0,1132483.0
2021-12-14,667.945,649.518,675.507,648.624,1051088.0,69608952300.0,1119629.0
2021-12-15,650.383,648.078,663.899,644.62,1090144.0,71397547550.0,1138168.0
2021-12-16,650.407,670.261,673.049,648.846,1001653.0,66475246950.0,1142486.0
2021-12-17,674.726,672.942,692.778,667.052,1214819.0,82795504150.0,1123414.0
2021-12-20,674.072,669.701,693.452,668.231,1264961.0,86436344700.0,1133773.0
2021-12-21,674.554,696.57,703.216,672.86,1401796.0,97419534000.0,1179641.0
2021-12-22,697.19,689.062,704.437,681.395,1047440.0,72803907600.0,1152904.0
2021-12-23,688.934,687.896,692.05,672.244,1066750.0,73052269500.0,1143075.0
2021-12-24,689.321,707.818,708.887,689.226,1136129.0,80052861300.0,1145965.0
2021-12-27,707.27,679.874,712.914,679.252,1086060.0,75529647400.0,1132441.0
2021-12-28,679.047,670.051,682.958,663.45,1011892.0,68308701650.0,1129625.0
2021-12-29,666.618,660.28,670.836,649.337,961927.0,63673717000.0,1121405.0
2021-12-30,663.305,667.148,681.821,662.18,979771.0,65930296600.0,1094364.0
2021-12-31,667.824,675.107,680.024,660.802,771827.0,51972012600.0,1074078.0
2022-01-04,676.895,685.495,688.383,659.329,792491.0,53766986200.0,1077782.0
2022-01-05,688.906,690.186,692.859,677.665,722141.0,49669284150.0,1052491.0
2022-01-06,692.931,711.793,712.385,691.575,868507.0,61390650050.0,1070398.0
2022-01-07,713.98,714.648,720.025,700.298,842282.0,60006241450.0,1057048.0
2022-01-10,712.855,695.728,713.491,689.526,933074.0,65517604250.0,1030836.0
